"","A","B"
"EV_absent",0.758694176586086,0.765359022475978
"EV_present",0.241305823413914,0.234640977524022
"SD_absent",0.0063305894091075,0.0110784981865703
"SD_present",0.0063305894091075,0.0110784981865703
"post.theta_absent",3465.11722293,1119.11722293
"post.theta_present",1102.09487631409,343.094876314085
"opt.theta_absent",0.117222930004745,NA
"opt.theta_present",0.0948763140852095,NA
"max.spread_absent",0.522336363725447,NA
"max.spread_present",0.522336363725456,NA
