"","A","B"
"EV",0.4171958176047099,0.41426612540006896
"STD",0.0035084975979789677,0.0034787029923291422
"Q.05",0.41142960194930417,0.4085490132583274
"Q.95",0.42297156708760597,0.419992961478693
"theta0",9866.208252640243,9866.208252640243
"theta1",7020.208433029154,7020.208433029154
