"","AA","AB","BA","BB"
"EV",0.273818065578599,0.274254208148571,0.276852409521761,0.274508855465566
"STD",0.00497556926329559,0.00557978721677146,0.00463206098342032,0.0054712493773361
"Q.05",0.265666057470474,0.265116504340728,0.269260580126597,0.265548062681527
"Q.95",0.282034123478447,0.283472231180302,0.284498631062811,0.28354674081469
"theta0",4418.94409833808,4418.94409833808,4418.94409833808,4418.94409833808
"theta1",1675.02420574785,1675.02420574785,1675.02420574785,1675.02420574785
