"","AA","AB","BA","BB"
"EV",0.239093269324212,0.238438196717652,0.239748542460304,0.240729317414736
"STD",0.00490135777089367,0.00468019700900752,0.00475631787628123,0.00447555807424354
"Q.05",0.23107054590603,0.23077593775146,0.231961930817642,0.233400073672849
"Q.95",0.247194354564156,0.246172218512865,0.247608622723967,0.248123185066529
"theta0",5135.55936202864,5135.55936202864,5135.55936202864,5135.55936202864
"theta1",1617.40593904262,1617.40593904262,1617.40593904262,1617.40593904262
