"","u0","u1"
"1",0.59066396678845,0.528095184246479
"2",1.08030885511125,0.18638660293392
"3",1.13623203110928,0.390100204071457
"4",1.27835926001007,1.51153807328723
"5",1.26796955761547,0.0616549059331719
"6",1.84352676215807,0.524384286774219
"7",3.15566729958395,1.78079239704268
"8",2.61639482053454,1.50432622326383
"9",2.2146125202113,0.754824863560042
"10",2.01993645740271,1.35146823375276
"11",2.61172600859652,1.50359652894504
"12",2.71004406802977,1.89485066576794
"13",1.8505642675822,1.61807536006051
"14",1.52852308129306,0.62865222419767
"15",1.61182286011615,1.27377632755331
"16",2.28503477092921,1.31951800420753
"17",2.29663573257231,2.13644753052856
"18",2.92924252882956,2.11870066006197
"19",2.89125301039258,1.93905532975359
"20",2.90984457073508,1.93660137968418
"21",2.85542970419522,1.68524661768803
"22",2.7037518890017,2.11513355709993
"23",2.86422464654291,1.86453950703342
"24",2.70316533586094,1.64329678271897
"25",2.67308259621695,1.90961687988803
"26",3.004265897804,2.07757454391401
"27",3.02809549935211,2.06520334814465
"28",2.75440911254352,1.61006344956267
"29",2.59406041211079,2.15180257982668
"30",3.35403658134723,2.08355125864503
"31",3.54513603631711,2.52982431262995
"32",3.71769538664273,2.62280950322411
"33",4.01592812829983,2.88060289576512
"34",4.23612097639635,2.95828049429395
"35",3.93343744188042,3.00841497170571
"36",3.88494312213847,2.90974036440974
"37",4.15988513122809,3.23420955465641
"38",4.24278933178308,3.13557672522511
"39",4.12766593563939,3.27771824062211
"40",4.33249377514951,3.1010668291208
"41",4.19285896488169,3.41991628106427
"42",4.13908696535797,3.07791185977579
"43",4.15406353837857,3.21348184586787
"44",4.03380080473161,3.07561848069947
"45",3.94968097548219,2.95376636897013
"46",4.1183454313311,2.95570788898851
"47",3.97950873295746,3.10631726915264
"48",4.11561579266481,3.29416147234121
"49",4.39014116175592,3.60383515646998
"50",3.77828707857386,3.08534466442356
"51",3.71616439025007,2.4346158253884
"52",3.68056283520861,2.48465724486337
"53",3.8582116585787,2.82580520121035
"54",3.9951107551324,3.06266115449755
