"","Mean","SD","MCSE","ESS","LB","Median","UB"
"u0",6.26520333676967,0.991853192511516,0.0145386222668605,1586.21249594226,3.98024105352875,6.38536298788459,7.82618668520367
"u1",5.92817959302115,0.990215545278402,0.0145162524072059,1592.57379844491,3.64908229053869,6.04783477099185,7.48775685867746
"Deviance",8189.50013220769,2.07691163105663,0.0221782487485306,3717.70534830569,8186.85289451838,8189.04674664546,8194.75232256956
"",1,0,0,2.22044604925031e-16,1,1,1
"",-4094.68147367283,NA,NA,NA,NA,NA,NA
"u0",6.26520333676967,0.991853192511516,0.0145386222668605,1586.21249594226,3.98024105352875,6.38536298788459,7.82618668520367
"u1",5.92817959302115,0.990215545278402,0.0145162524072059,1592.57379844491,3.64908229053869,6.04783477099185,7.48775685867746
"Deviance",8189.50013220769,2.07691163105663,0.0221782487485306,3717.70534830569,8186.85289451838,8189.04674664546,8194.75232256956
"",1,0,0,2.22044604925031e-16,1,1,1
