"","00","01","10","11"
"EV_n",0.593816276735385,0.559337649576367,0.590773123707372,0.580079443968059
"EV_y",0.406183723264616,0.440662350423633,0.409226876292628,0.419920556031941
"SD_n",0.013189109225055,0.0161536825002258,0.00989621646795281,0.0125135832128441
"SD_y",0.013189109225055,0.0161536825002258,0.00989621646795281,0.0125135832128441
"post.theta_n",822.777591490682,527.777591490682,1457.77759149068,901.777591490682
"post.theta_y",562.798425411473,415.798425411473,1009.79842541147,652.798425411473
"opt.theta_n",46.7775914906822,NA,NA,NA
"opt.theta_y",33.7984254114734,NA,NA,NA
"max.spread_n",1.65938618142569,NA,NA,NA
"max.spread_y",1.65938618142569,NA,NA,NA
