"","AA","AB","BA","BB"
"EV_absent",0.760433026475329,0.784393725584388,0.748588351293734,0.771511407845477
"EV_present",0.239566973524671,0.215606274415612,0.251411648706266,0.228488592154523
"SD_absent",0.00820837635380334,0.0146147704585826,0.00932839183351567,0.0166250766084839
"SD_present",0.00820837635380334,0.0146147704585826,0.00932839183351567,0.0166250766084839
"post.theta_absent",2055.29285432942,620.292854329415,1618.29285432942,491.292854329415
"post.theta_present",647.499873987331,170.499873987331,543.499873987331,145.499873987331
"opt.theta_absent",50.2928543294152,NA,NA,NA
"opt.theta_present",15.4998739873309,NA,NA,NA
"max.spread_absent",2.06512436269781,NA,NA,NA
"max.spread_present",2.06512436269781,NA,NA,NA
