"","AA","AB","BA","BB"
"EV_absent",0.719461663816763,0.731296302771593,0.69680237762429,0.743607757514283
"EV_present",0.280538336183237,0.268703697228407,0.30319762237571,0.256392242485717
"SD_absent",0.00672681060036574,0.0173540291779723,0.217189692286998,0.0143220327758937
"SD_present",0.00672681060036574,0.0173540291779723,0.217189692286998,0.0143220327758937
"post.theta_absent",3208.42400252162,476.424002521623,2.42400252162305,690.424002521623
"post.theta_present",1251.05474927295,175.05474927295,1.05474927294969,238.05474927295
"opt.theta_absent",2.42400252162305,NA,NA,NA
"opt.theta_present",1.05474927294969,NA,NA,NA
"max.spread_absent",1.52600238825079,NA,NA,NA
"max.spread_present",1.52600238825079,NA,NA,NA
