"","AA","AB","BA","BB"
"EV_absent",0.722773029145769,0.731026792753388,0.718916496887069,0.787595677914254
"EV_present",0.277226970854231,0.268973207246613,0.281083503112931,0.212404322085746
"SD_absent",0.00662366484831638,0.016722914365024,0.0167633815530191,0.0355859451117853
"SD_present",0.00662366484831638,0.016722914365024,0.0167633815530191,0.0355859451117853
"post.theta_absent",3300.25543372204,513.255433722041,516.255433722041,103.255433722041
"post.theta_present",1265.84664900585,188.846649005846,201.846649005846,27.8466490058461
"opt.theta_absent",16.2554337220406,NA,NA,NA
"opt.theta_present",5.84664900584614,NA,NA,NA
"max.spread_absent",1.79082274451968,NA,NA,NA
"max.spread_present",1.79082274451967,NA,NA,NA
