"","00","01","10","11"
"EV_n",0.759731496098144,0.7772192919069,0.774951352786219,0.751495696755111
"EV_y",0.240268503901856,0.2227807080931,0.225048647213781,0.248504303244889
"SD_n",0.013055822965579,0.0151851764731575,0.011812395559446,0.00753996278475181
"SD_y",0.013055822965579,0.0151851764731575,0.011812395559446,0.00753996278475181
"post.theta_n",812.835888104091,582.835888104091,967.835888104091,2467.83588810409
"post.theta_y",257.06300680639,167.06300680639,281.06300680639,816.06300680639
"opt.theta_n",61.8358881040913,NA,NA,NA
"opt.theta_y",19.06300680639,NA,NA,NA
"max.spread_n",1.67376635840188,NA,NA,NA
"max.spread_y",1.67376635840188,NA,NA,NA
