"","AA","AB","BA","BB"
"EV_absent",0.767020894396409,0.724404709936707,0.755790151470401,0.763134578797447
"EV_present",0.232979105603591,0.275595290063293,0.244209848529599,0.236865421202553
"SD_absent",0.00682647561359619,0.0182915079283084,0.0110460293404455,0.0259854021735254
"SD_present",0.00682647561359619,0.0182915079283084,0.0110460293404455,0.0259854021735254
"post.theta_absent",2940.52589455318,431.525894553184,1142.52589455318,203.525894553184
"post.theta_present",893.17135676768,164.17135676768,369.17135676768,63.1713567676795
"opt.theta_absent",33.5258945531837,NA,NA,NA
"opt.theta_present",11.1713567676795,NA,NA,NA
"max.spread_absent",2.18277762203497,NA,NA,NA
"max.spread_present",2.18277762203497,NA,NA,NA
