"","00","01","10","11"
"EV_n",0.597291257816443,0.587266081708026,0.588275797168901,0.573829689212066
"EV_y",0.402708742183557,0.412733918291974,0.411724202831099,0.426170310787934
"SD_n",0.0157790421450227,0.00981693894025522,0.0170000150906627,0.0107248852385722
"SD_y",0.0157790421450227,0.00981693894025522,0.0170000150906627,0.0107248852385722
"post.theta_n",576.437636744365,1476.43763674437,492.437636744365,1219.43763674437
"post.theta_y",388.648707984144,1037.64870798414,344.648707984144,905.648707984144
"opt.theta_n",60.4376367443655,NA,NA,NA
"opt.theta_y",42.6487079841445,NA,NA,NA
"max.spread_n",1.22971807666192,NA,NA,NA
"max.spread_y",1.22971807666192,NA,NA,NA
