"","00","01","10","11"
"EV_n",0.729393121043841,0.727884588157284,0.724789042028331,0.718584952960458
"EV_y",0.270606878956159,0.272115411842716,0.275210957971669,0.281415047039542
"SD_n",0.0122558898040613,0.0132157666532776,0.00934514793063032,0.0104352126627035
"SD_y",0.0122558898040613,0.0132157666532775,0.00934514793063032,0.0104352126627035
"post.theta_n",957.727232114287,824.727232114287,1654.72723211429,1333.72723211429
"post.theta_y",355.319469976452,308.319469976452,628.319469976452,522.319469976452
"opt.theta_n",100.727232114287,NA,NA,NA
"opt.theta_y",38.3194699764524,NA,NA,NA
"max.spread_n",0.671456629292434,NA,NA,NA
"max.spread_y",0.671456629292434,NA,NA,NA
