"","00","01","10","11"
"EV_n",0.747190947587634,0.717927658936985,0.723360747725594,0.721206078741036
"EV_y",0.252809052412366,0.282072341063015,0.276639252274406,0.278793921258964
"SD_n",0.0145977128264845,0.0118159625828016,0.0115063445945005,0.00893520687129819
"SD_y",0.0145977128264845,0.0118159625828016,0.0115063445945005,0.00893520687129819
"post.theta_n",661.600753203698,1040.6007532037,1092.6007532037,1815.6007532037
"post.theta_y",223.849954329267,408.849954329267,417.849954329267,701.849954329267
"opt.theta_n",60.6007532036975,NA,NA,NA
"opt.theta_y",22.8499543292675,NA,NA,NA
"max.spread_n",1.55816744667762,NA,NA,NA
"max.spread_y",1.55816744667763,NA,NA,NA
