"","000","100","010","001","110","101","011","111"
"EV_n",0.72151014828905,0.707845382621547,0.777662266838061,0.749834889325522,0.694264759629865,0.744245524179352,0.721116813840637,0.717475383735396
"EV_y",0.27848985171095,0.292154617378453,0.222337733161939,0.250165110674478,0.305735240370135,0.255754475820648,0.278883186159363,0.282524616264604
"SD_n",0.0204962481051733,0.0163425610519723,0.0158956352018071,0.0177362869136876,0.0131510193864824,0.0136786923122666,0.015280445067155,0.0110360956329984
"SD_y",0.0204962481051733,0.0163425610519723,0.0158956352018071,0.0177362869136876,0.0131510193864824,0.0136786923122666,0.015280445067155,0.0110360956329984
"post.theta_n",344.378937641643,547.378937641643,531.378937641643,446.378937641643,851.378937641643,756.378937641643,620.378937641643,1193.37893764164
"post.theta_y",132.92403371404,225.92403371404,151.92403371404,148.92403371404,374.92403371404,259.92403371404,239.92403371404,469.92403371404
"opt.theta_n",115.378937641643,NA,NA,NA,NA,NA,NA,NA
"opt.theta_y",42.9240337140403,NA,NA,NA,NA,NA,NA,NA
"max.spread_n",4.04242327518162,NA,NA,NA,NA,NA,NA,NA
"max.spread_y",4.04242327518162,NA,NA,NA,NA,NA,NA,NA
