"","000","100","010","001","110","101","011","111"
"EV_n",0.701681663643812,0.72498324935425,0.757100201481057,0.732747373830725,0.728410755818848,0.724557193953918,0.716857641776237,0.711198227990691
"EV_y",0.298318336356188,0.27501675064575,0.242899798518943,0.267252626169275,0.271589244181152,0.275442806046082,0.283142358223763,0.288801772009309
"SD_n",0.0166265376035942,0.0197296536261274,0.0139410810587909,0.0110727907448904,0.0186263165228796,0.0151701499032881,0.0100334659582081,0.0139715314342479
"SD_y",0.0166265376035942,0.0197296536261274,0.0139410810587909,0.0110727907448904,0.0186263165228796,0.0151701499032881,0.0100334659582081,0.0139715314342479
"post.theta_n",530.618810162958,370.618810162958,715.618810162958,1169.61881016296,414.618810162958,627.618810162958,1444.61881016296,747.618810162958
"post.theta_y",225.591359855552,140.591359855552,229.591359855552,426.591359855552,154.591359855552,238.591359855552,570.591359855552,303.591359855552
"opt.theta_n",206.618810162958,NA,NA,NA,NA,NA,NA,NA
"opt.theta_y",78.5913598555522,NA,NA,NA,NA,NA,NA,NA
"max.spread_n",2.55410598353365,NA,NA,NA,NA,NA,NA,NA
"max.spread_y",2.55410598353365,NA,NA,NA,NA,NA,NA,NA
