"","00","01","10","11"
"EV_n",0.582248332746611,0.586231106172589,0.586178964651787,0.582668133390777
"EV_y",0.417751667253389,0.413768893827411,0.413821035348213,0.417331866609223
"SD_n",0.0108594895519071,0.0112883250111649,0.0108631505928208,0.0110664764547236
"SD_y",0.0108594895519071,0.0112883250111649,0.0108631505928208,0.0110664764547236
"post.theta_n",1200.34272321238,1115.34272321238,1204.34272321238,1156.34272321238
"post.theta_y",861.22217221645,787.22217221645,850.22217221645,828.22217221645
"opt.theta_n",288.342723212377,NA,NA,NA
"opt.theta_y",205.22217221645,NA,NA,NA
"max.spread_n",0.25589674335228,NA,NA,NA
"max.spread_y",0.255896743352288,NA,NA,NA
