"","00","01","10","11"
"EV_n",0.728216048453889,0.716850928202981,0.722271292017702,0.73368307181102
"EV_y",0.271783951546111,0.283149071797019,0.277728707982298,0.26631692818898
"SD_n",0.00844696309541795,0.00938223999793988,0.012356281348477,0.0128962236654542
"SD_y",0.00844696309541795,0.00938223999793988,0.012356281348477,0.0128962236654542
"post.theta_n",2019.2333518013,1652.2333518013,948.233351801299,861.233351801299
"post.theta_y",753.615936659772,652.615936659772,364.615936659772,312.615936659772
"opt.theta_n",278.233351801299,NA,NA,NA
"opt.theta_y",105.615936659772,NA,NA,NA
"max.spread_n",1.05543851325739,NA,NA,NA
"max.spread_y",1.05543851325739,NA,NA,NA
