"","00","01","10","11"
"EV_n",0.75348186910577,0.757479439199554,0.776864380383042,0.760191658628755
"EV_y",0.24651813089423,0.242520560800447,0.223135619616958,0.239808341371245
"SD_n",0.00942169574604857,0.00878838317704571,0.011209795219009,0.0110224223723277
"SD_y",0.00942169574604857,0.00878838317704571,0.011209795219009,0.0110224223723277
"post.theta_n",1575.90026816949,1800.90026816949,1070.90026816949,1139.90026816949
"post.theta_y",515.590360582816,576.590360582816,307.590360582816,359.590360582816
"opt.theta_n",250.900268169492,NA,NA,NA
"opt.theta_y",78.5903605828159,NA,NA,NA
"max.spread_n",1.59680008563056,NA,NA,NA
"max.spread_y",1.59680008563055,NA,NA,NA
