"","AA","AB","BA","BB"
"EV_absent",0.716864491208806,0.745905958553909,0.716376365205413,0.703443696317659
"EV_present",0.283135508791193,0.254094041446091,0.283623634794587,0.296556303682341
"SD_absent",0.00789572532971137,0.00978693859098975,0.0146964057098568,0.0181006115424729
"SD_present",0.00789572532971137,0.00978693859098975,0.0146964057098568,0.0181006115424729
"post.theta_absent",2333.19478836089,1475.19478836089,673.19478836089,447.19478836089
"post.theta_present",921.527431771063,502.527431771064,266.527431771064,188.527431771064
"opt.theta_absent",140.19478836089,NA,NA,NA
"opt.theta_present",54.5274317710635,NA,NA,NA
"max.spread_absent",2.30948968449269,NA,NA,NA
"max.spread_present",2.30948968449268,NA,NA,NA
