"","00","01","10","11"
"EV_n",0.583368680993714,0.594903614983899,0.595397863752146,0.561462635811937
"EV_y",0.416631319006286,0.405096385016101,0.404602136247854,0.438537364188063
"SD_n",0.011188762544446,0.0120363517204351,0.0113033660624263,0.0122812053393143
"SD_y",0.011188762544446,0.0120363517204351,0.0113033660624263,0.0122812053393143
"post.theta_n",1132.01001134992,989.010011349922,1122.01001134992,916.010011349922
"post.theta_y",808.460994775482,673.460994775482,762.460994775482,715.460994775482
"opt.theta_n",159.010011349922,NA,NA,NA
"opt.theta_y",113.460994775482,NA,NA,NA
"max.spread_n",2.03312847018435,NA,NA,NA
"max.spread_y",2.03312847018436,NA,NA,NA
