"","0","1"
"EV_0",0.409589659984996,0.398915867685516
"EV_A",0.101764448872365,0.105156081047302
"EV_B",0.188007292987491,0.180202770295966
"EV_C",0.0679026173069043,0.0646848099191864
"EV_AB",0.0714686232988212,0.0708565315010286
"EV_AC",0.012236043936126,0.0121928105232227
"EV_BC",0.0730248814219587,0.0737988858483058
"EV_ABC",0.0760064321913378,0.0941922431794722
"SD_0",0.00824455174492978,0.00653150459546244
"SD_A",0.00506884184596374,0.00409162469413144
"SD_B",0.0065505684769431,0.00512671179922357
"SD_C",0.00421783396724787,0.00328084033960152
"SD_AB",0.00431888438816743,0.00342244346726085
"SD_AC",0.00184315848390035,0.00146383778484113
"SD_BC",0.00436199383355957,0.00348724533050854
"SD_ABC",0.00444298887607442,0.00389610396114957
"post.theta_0",1456.78593059138,2241.78593059138
"post.theta_A",361.945214527822,590.945214527822
"post.theta_B",668.684798543941,1012.68479854394
"post.theta_C",241.508971556197,363.508971556197
"post.theta_AB",254.192171023731,398.192171023731
"post.theta_AC",43.5198892786975,68.5198892786975
"post.theta_BC",259.72730816132,414.72730816132
"post.theta_ABC",270.3317780406,529.3317780406
"opt.theta_0",635.785930591381,NA
"opt.theta_A",162.945214527822,NA
"opt.theta_B",289.684798543941,NA
"opt.theta_C",104.508971556197,NA
"opt.theta_AB",112.192171023731,NA
"opt.theta_AC",19.5198892786975,NA
"opt.theta_BC",115.72730816132,NA
"opt.theta_ABC",133.3317780406,NA
"max.spread_0",1.01478967179751,NA
"max.spread_A",0.520653682626677,NA
"max.spread_B",0.938242036194617,NA
"max.spread_C",0.602179945008964,NA
"max.spread_AB",0.11107686462251,NA
"max.spread_AC",0.0183680271073052,NA
"max.spread_BC",0.138595964558255,NA
"max.spread_ABC",3.07749210156845,NA
