"","AA","AB","BA","BB"
"EV_absent",0.599417823920365,0.579770708080671,0.582479394373798,0.562882864471308
"EV_present",0.400582176079635,0.42022929191933,0.417520605626202,0.437117135528693
"SD_absent",0.0105996274943898,0.0132052280457858,0.0118661840230078,0.0148737809757847
"SD_present",0.0105996274943898,0.0132052280457858,0.0118661840230078,0.0148737809757847
"post.theta_absent",1280.46131941189,809.46131941189,1005.46131941189,625.46131941189
"post.theta_present",855.713596170875,586.713596170875,720.713596170875,485.713596170875
"opt.theta_absent",49.4613194118896,NA,NA,NA
"opt.theta_present",35.7135961708747,NA,NA,NA
"max.spread_absent",2.00035775751912,NA,NA,NA
"max.spread_present",2.00035775751912,NA,NA,NA
