"","A","B"
"EV",0.275571654526317,0.275571655045355
"STD",1.64971686186692e-06,1.64971690408829e-06
"Q.05",0.275568940987032,0.275568941506001
"Q.95",0.275574368072559,0.275574368591667
"theta0",53138165641.4147,53138165641.4147
"theta1",20213693093.3731,20213693093.3731
