"","A","B"
"EV",0.415681583755844,0.415681589117171
"STD",7.78245091377145e-06,7.78245527814231e-06
"Q.05",0.415668782787138,0.415668788141286
"Q.95",0.415694384772363,0.415694390140868
"theta0",2343292924.91893,2343292924.91893
"theta1",1667008428.92749,1667008428.92749
