"","0","1"
"EV_0",0.39660747783490763,0.40486082183876343
"EV_A",0.10594559564477074,0.10315414782931427
"EV_B",0.19414493992064047,0.17756744039129654
"EV_C",0.05865515850175851,0.06895105448612618
"EV_AB",0.07246242739976416,0.07040244327674726
"EV_AC",0.012370206866010978,0.012107303193987787
"EV_BC",0.0809571035311697,0.07016572252609124
"EV_ABC",0.07885709030097787,0.09279106645767336
"SD_0",0.011263165488768266,0.0076128952823350925
"SD_A",0.00708603806873463,0.004717261578421964
"SD_B",0.009106920822594435,0.0059267897931694355
"SD_C",0.0054101279219708675,0.0039295645009468135
"SD_AB",0.005969009207787696,0.00396761078217633
"SD_AC",0.002544870143785637,0.0016961580031750795
"SD_BC",0.006280228224376928,0.003961439121599427
"SD_ABC",0.006205316466878504,0.0044998128493253025
"theta0",1.7742538865819828,1.7742538865819828
"theta_A",0.7526349435488559,0.7526349435488559
"theta_B",1.0460170532730422,1.0460170532730422
"theta_C",0.5899909519841027,0.5899909519841027
"theta_AB",0.6225818017092613,0.6225818017092613
"theta_AC",0.3231159940572304,0.3231159940572304
"theta_BC",0.6386693975514809,0.6386693975514809
"theta_ABC",0.6792487761069249,0.6792487761069249
"post.theta0",747.774253886582,1682.774253886582
"post.theta_A",199.75263494354886,428.75263494354886
"post.theta_B",366.04601705327303,738.0460170532731
"post.theta_C",110.5899909519841,286.5899909519841
"post.theta_AB",136.62258180170926,292.62258180170926
"post.theta_AC",23.32311599405723,50.32311599405723
"post.theta_BC",152.63866939755147,291.6386693975515
"post.theta_ABC",148.67924877610693,385.67924877610693
