"","0","1"
"EV_0",0.403513972979135,0.401641332259311
"EV_A",0.103096404137822,0.104770439979233
"EV_B",0.179902543459112,0.185215601599488
"EV_C",0.0656004486788898,0.0657725323324211
"EV_AB",0.0699554716148786,0.0718901451290523
"EV_AC",0.0140230080812201,0.0105308711694934
"EV_BC",0.0714297914973722,0.0752402672524123
"EV_ABC",0.0924783595515704,0.0849388102785891
"SD_0",0.00914618562138891,0.00846198621005975
"SD_A",0.0056689839356411,0.00528638648889012
"SD_B",0.00716080700484865,0.00670551990503233
"SD_C",0.00461562269652516,0.00427878946729748
"SD_AB",0.00475524940809206,0.0044586839899024
"SD_AC",0.00219212122570192,0.00176199874539607
"SD_BC",0.00480128680088438,0.00455314981756821
"SD_ABC",0.00540081297505143,0.00481227542100611
"post.theta_0",1160.6103576859,1347.6103576859
"post.theta_A",296.531873726997,351.531873726997
"post.theta_B",517.446158731858,621.446158731858
"post.theta_C",188.683825849815,220.683825849815
"post.theta_AB",201.209996108929,241.209996108929
"post.theta_AC",40.3337914293708,35.3337914293708
"post.theta_BC",205.450520702244,252.450520702244
"post.theta_ABC",265.991636336478,284.991636336478
"opt.theta_0",40.6103576859022,NA
"opt.theta_A",10.531873726997,NA
"opt.theta_B",18.446158731858,NA
"opt.theta_C",6.68382584981484,NA
"opt.theta_AB",7.20999610892919,NA
"opt.theta_AC",1.33379142937083,NA
"opt.theta_BC",7.45052070224424,NA
"opt.theta_ABC",8.99163633647841,NA
"max.spread_0",0.106350661371821,NA
"max.spread_A",0.1528050423254,NA
"max.spread_B",0.383162619409264,NA
"max.spread_C",0.0193473891654371,NA
"max.spread_AB",0.209972595915968,NA
"max.spread_AC",0.883164126847937,NA
"max.spread_BC",0.407344227179179,NA
"max.spread_ABC",0.738224225680034,NA
