"","0","1"
"EV_0",0.408828257460764,0.396974304706938
"EV_A",0.104227039930901,0.103799619483897
"EV_B",0.182493092391555,0.183012263499516
"EV_C",0.0644444227486392,0.0667828649324042
"EV_AB",0.0673704481622093,0.0741651646423249
"EV_AC",0.0114438376298181,0.0127505158691052
"EV_BC",0.073987301789769,0.0730506057519313
"EV_ABC",0.0872055998863456,0.0894646611138835
"SD_0",0.00910214818031359,0.00848604414903133
"SD_A",0.00565725547315267,0.00529001157338739
"SD_B",0.00715130903139245,0.00670662532345441
"SD_C",0.00454615333801296,0.00432992181762825
"SD_AB",0.0046409396345691,0.00454488523145891
"SD_AC",0.00196926033082455,0.00194595823609279
"SD_BC",0.00484622619595231,0.00451331975163205
"SD_ABC",0.00522366461739451,0.00495028659544458
"post.theta_0",1192.22651622989,1319.22651622989
"post.theta_A",303.947289469581,344.947289469581
"post.theta_B",532.187048736189,608.187048736189
"post.theta_C",187.933070236541,221.933070236541
"post.theta_AB",196.465956654148,246.465956654148
"post.theta_AC",33.3725627343848,42.3725627343848
"post.theta_BC",215.762050318969,242.762050318969
"post.theta_ABC",254.30930140198,297.30930140198
"opt.theta_0",42.2265162298894,NA
"opt.theta_A",10.9472894695812,NA
"opt.theta_B",19.1870487361888,NA
"opt.theta_C",6.933070236541,NA
"opt.theta_AB",7.46595665414769,NA
"opt.theta_AC",1.37256273438482,NA
"opt.theta_BC",7.76205031896922,NA
"opt.theta_ABC",9.3093014019796,NA
"max.spread_0",0.673972204298004,NA
"max.spread_A",0.0390435754591859,NA
"max.spread_B",0.037463816371721,NA
"max.spread_C",0.263454527227476,NA
"max.spread_AB",0.739695844326907,NA
"max.spread_AC",0.333743370121955,NA
"max.spread_BC",0.100079217847045,NA
"max.spread_ABC",0.222043646591023,NA
