"","0","1"
"EV_0",0.40729027757042,0.399051816655719
"EV_A",0.105683790782071,0.102784699402641
"EV_B",0.177594360827663,0.186497152577992
"EV_C",0.0642231731092763,0.0667513274974209
"EV_AB",0.0705230215947468,0.0713425025184038
"EV_AC",0.0115463072941657,0.0125703018495867
"EV_BC",0.0729020258469619,0.0739073897251263
"EV_ABC",0.0902370429746961,0.0870948097731104
"SD_0",0.00957782244837582,0.008149784930907
"SD_A",0.00599298895376858,0.00505388737203035
"SD_B",0.00744991573061127,0.00648229259322042
"SD_C",0.00477887595279251,0.00415376222573505
"SD_AB",0.00499089587513213,0.00428365950613639
"SD_AC",0.00208254049338238,0.00185412467822598
"SD_BC",0.00506788030784334,0.00435395694412847
"SD_ABC",0.00558534864027714,0.0046926910654912
"post.theta_0",1071.39967161438,1440.39967161438
"post.theta_A",278.007074989154,371.007074989154
"post.theta_B",467.17181909265,673.17181909265
"post.theta_C",168.94261996572,240.94261996572
"post.theta_AB",185.514720922356,257.514720922356
"post.theta_AC",30.3732019264541,45.3732019264541
"post.theta_BC",191.772823594969,266.772823594969
"post.theta_ABC",237.373547896257,314.373547896257
"opt.theta_0",42.3996716143779,NA
"opt.theta_A",11.0070749891543,NA
"opt.theta_B",19.1718190926503,NA
"opt.theta_C",6.94261996571981,NA
"opt.theta_AB",7.51472092235637,NA
"opt.theta_AC",1.37320192645405,NA
"opt.theta_BC",7.77282359496854,NA
"opt.theta_ABC",9.37354789625716,NA
"max.spread_0",0.464724919637422,NA
"max.spread_A",0.262435397476048,NA
"max.spread_B",0.639007940693858,NA
"max.spread_C",0.283024380660788,NA
"max.spread_AB",0.0883579740449863,NA
"max.spread_AC",0.260117259350904,NA
"max.spread_BC",0.106705714743056,NA
"max.spread_ABC",0.305723006676275,NA
