"","A","B"
"EV_0",0.400255785254315,0.406745434509398
"EV_O",0.102061868879248,0.108551672207638
"EV_M",0.18023887523335,0.18842523125408
"EV_T",0.0659257478286968,0.0653687089007686
"EV_OM",0.0753907989732768,0.0610732281271281
"EV_OT",0.0126823433754746,0.0111674246741927
"EV_MT",0.0744733186389386,0.0714043848278507
"EV_OMT",0.0889712618167004,0.0872639154989438
"SD_0",0.00753102210876837,0.0114161934020761
"SD_O",0.00465325706473546,0.00722945861411812
"SD_M",0.00590840114654457,0.00908810270504382
"SD_T",0.00381434799727064,0.00574439825597201
"SD_OM",0.00405826458674998,0.0055651993884646
"SD_OT",0.0017200072820442,0.00244217807490767
"SD_MT",0.00403549585054677,0.00598432518487091
"SD_OMT",0.00437615799642002,0.006558875506108
"post.theta_0",1693.6779605163,752.677960516295
"post.theta_O",431.873677528617,200.873677528617
"post.theta_M",762.678821536608,348.678821536608
"post.theta_T",278.964078075908,120.964078075908
"post.theta_OM",319.015338068438,113.015338068438
"post.theta_OT",53.6651967418617,20.6651967418617
"post.theta_MT",315.133030107571,132.133030107571
"post.theta_OMT",376.480917477621,161.480917477621
"opt.theta_0",9.67796051629528,NA
"opt.theta_O",2.87367752861748,NA
"opt.theta_M",4.67882153660811,NA
"opt.theta_T",1.96407807590801,NA
"opt.theta_OM",2.01533806843783,NA
"opt.theta_OT",0.665196741861688,NA
"opt.theta_MT",2.13303010757115,NA
"opt.theta_OMT",2.48091747762136,NA
"max.spread_0",0.474512092497878,NA
"max.spread_O",0.754843300012198,NA
"max.spread_M",0.755207844910828,NA
"max.spread_T",0.0807834382111505,NA
"max.spread_OM",2.07870387744339,NA
"max.spread_OT",0.507156719379817,NA
"max.spread_MT",0.425186632887932,NA
"max.spread_OMT",0.216537222702921,NA
