"","A","B"
"EV_0",0.405314135131046,0.396882639220332
"EV_O",0.103199525796174,0.105457536652088
"EV_M",0.184795518948838,0.179130847305042
"EV_T",0.0624077507133023,0.0715390612891224
"EV_OM",0.0738701666847748,0.0662020655338904
"EV_OT",0.0118776701199454,0.0128220070046597
"EV_MT",0.0772635712099995,0.0671173964056483
"EV_OMT",0.0812716613959202,0.100848446589217
"SD_0",0.00791693227227513,0.010345145530167
"SD_O",0.00490573418316438,0.00649447322037069
"SD_M",0.00625887450791076,0.00810824375891576
"SD_T",0.00390070867482634,0.0054495178034283
"SD_OM",0.00421781690830795,0.00525734966649924
"SD_OT",0.00174698120804912,0.0023789229496018
"SD_MT",0.00430569704522738,0.00529097471773329
"SD_OMT",0.00440636401699792,0.00636730560106757
"post.theta_0",1558.27573855233,887.275738552331
"post.theta_O",396.762173681135,235.762173681135
"post.theta_M",710.467138477806,400.467138477806
"post.theta_T",239.933610513531,159.933610513531
"post.theta_OM",284.002156772755,148.002156772755
"post.theta_OT",45.6650374960512,28.6650374960512
"post.theta_MT",297.048481794314,150.048481794314
"post.theta_OMT",312.458034911997,225.458034911997
"opt.theta_0",9.27573855233133,NA
"opt.theta_O",2.76217368113457,NA
"opt.theta_M",4.4671384778059,NA
"opt.theta_T",1.93361051353052,NA
"opt.theta_OM",2.00215677275537,NA
"opt.theta_OT",0.665037496051229,NA
"opt.theta_MT",2.04848179431382,NA
"opt.theta_OMT",2.45803491199727,NA
"max.spread_0",0.647237841861734,NA
"max.spread_O",0.277428712508296,NA
"max.spread_M",0.553033635734569,NA
"max.spread_T",1.36253661556396,NA
"max.spread_OM",1.13767410947845,NA
"max.spread_OT",0.319953981150908,NA
"max.spread_MT",1.48737253715701,NA
"max.spread_OMT",2.52822397297152,NA
