"","A","B"
"EV_0",0.399043382986991,0.411241901952763
"EV_O",0.108377100805787,0.0917196043564048
"EV_M",0.179072512194234,0.193042877571442
"EV_T",0.0660259683893621,0.0649925094258446
"EV_OM",0.0709626790574536,0.0713299782830865
"EV_OT",0.0141908421255021,0.00660660547240115
"EV_MT",0.0752099809296332,0.0688292641086927
"EV_OMT",0.0871175335110376,0.0922372588293654
"SD_0",0.00731811077012844,0.0123214889267583
"SD_O",0.00464543869031073,0.00722748370668908
"SD_M",0.00572973087091667,0.00988321369181139
"SD_T",0.00371101023147534,0.00617284344675435
"SD_OM",0.00383706311773398,0.00644485014745287
"SD_OT",0.00176753437911702,0.0020285974957871
"SD_MT",0.00394118360552102,0.00633938732661937
"SD_OMT",0.0042143206846034,0.00724578486576157
"post.theta_0",1786.43982537224,655.43982537224
"post.theta_O",485.183258994552,146.183258994552
"post.theta_M",801.672903378688,307.672903378688
"post.theta_T",295.585453783531,103.585453783531
"post.theta_OM",317.686149897833,113.686149897833
"post.theta_OT",63.5296476759104,10.5296476759104
"post.theta_MT",336.700496553688,109.700496553688
"post.theta_OMT",390.008299817847,147.008299817847
"opt.theta_0",7.4398253722396,NA
"opt.theta_O",2.18325899455177,NA
"opt.theta_M",3.67290337868808,NA
"opt.theta_T",1.58545378353079,NA
"opt.theta_OM",1.68614989783328,NA
"opt.theta_OT",0.529647675910423,NA
"opt.theta_MT",1.70049655368819,NA
"opt.theta_OMT",2.00829981784669,NA
"max.spread_0",0.851205752050882,NA
"max.spread_O",1.93879837795201,NA
"max.spread_M",1.22289635041888,NA
"max.spread_T",0.143486716877443,NA
"max.spread_OM",0.0489692488101193,NA
"max.spread_OT",2.81877896362344,NA
"max.spread_MT",0.854792997278337,NA
"max.spread_OMT",0.610782696463537,NA
