"","0","1"
"EV_0",0.407003027173477,0.397889653145606
"EV_A",0.10484493294507,0.103287965523783
"EV_B",0.183362018796315,0.18213419493657
"EV_C",0.0647290814482418,0.0666863945423564
"EV_AB",0.0658117593796925,0.0757982786700869
"EV_AC",0.0116611790469831,0.0127382154111773
"EV_BC",0.0730995642330102,0.0739455415876187
"EV_ABC",0.0894884369772106,0.0875197561828015
"SD_0",0.00913370537969826,0.00865519112495925
"SD_A",0.00569566976767101,0.00538156580529505
"SD_B",0.007194347631844,0.00682486499709009
"SD_C",0.00457446572780114,0.0044115348217621
"SD_AB",0.00460989347136521,0.00468026401617794
"SD_AC",0.00199593364867629,0.00198302300306014
"SD_BC",0.00483944856066524,0.00462734153342466
"SD_ABC",0.00530698835820052,0.00499714647001136
"post.theta_0",1177.07358939182,1272.07358939182
"post.theta_A",303.216913171992,330.216913171992
"post.theta_B",530.292344805374,582.292344805374
"post.theta_C",187.199817081072,213.199817081072
"post.theta_AB",190.330977081965,242.330977081965
"post.theta_AC",33.7247267488323,40.7247267488323
"post.theta_BC",211.407681786241,236.407681786241
"post.theta_ABC",258.805140721796,279.805140721796
"opt.theta_0",11.0735893918171,NA
"opt.theta_A",3.21691317199249,NA
"opt.theta_B",5.29234480537449,NA
"opt.theta_C",2.19981708107172,NA
"opt.theta_AB",2.33097708196467,NA
"opt.theta_AC",0.724726748832307,NA
"opt.theta_BC",2.40768178624058,NA
"opt.theta_ABC",2.80514072179635,NA
"max.spread_0",0.724249352766234,NA
"max.spread_A",0.198695761926251,NA
"max.spread_B",0.123815969747478,NA
"max.spread_C",0.307990614072541,NA
"max.spread_AB",1.5201750766919,NA
"max.spread_AC",0.382801711268976,NA
"max.spread_BC",0.126346148408886,NA
"max.spread_ABC",0.27007383855719,NA
