"","A","B"
"EV_0",0.389612874085317,0.408655612999254
"EV_O",0.103682520249594,0.104203408301012
"EV_M",0.19865984511081,0.174578271302538
"EV_T",0.0586270598508059,0.0693933605473408
"EV_OM",0.0688857333832064,0.072168019912532
"EV_OT",0.0114749166951768,0.0126055199601251
"EV_MT",0.0771731331659357,0.0716918424159393
"EV_OMT",0.0918839174591546,0.0867039645612596
"SD_0",0.0107373782930819,0.00775354998418392
"SD_O",0.00671216506054799,0.00481889298920907
"SD_M",0.00878501325842873,0.00598735019326611
"SD_T",0.0051725992769688,0.00400814708783769
"SD_OM",0.00557628620387295,0.00408139549592465
"SD_OT",0.00234502533871423,0.00175965426716176
"SD_MT",0.00587586898156492,0.00406895204520295
"SD_OMT",0.00636017927315671,0.00443840451908949
"post.theta_0",803.276126537571,1642.27612653757
"post.theta_O",213.76524954745,418.76524954745
"post.theta_M",409.582746088161,701.582746088161
"post.theta_T",120.873104252015,278.873104252015
"post.theta_OM",142.023708060645,290.023708060645
"post.theta_OT",23.6581674999386,50.6581674999386
"post.theta_MT",159.110079788396,288.110079788396
"post.theta_OMT",189.439729066872,348.439729066872
"opt.theta_0",9.27612653757077,NA
"opt.theta_O",2.76524954745022,NA
"opt.theta_M",4.58274608816108,NA
"opt.theta_T",1.87310425201497,NA
"opt.theta_OM",2.023708060645,NA
"opt.theta_OT",0.65816749993861,NA
"opt.theta_MT",2.11007978839572,NA
"opt.theta_OMT",2.43972906687161,NA
"max.spread_0",1.43781724176363,NA
"max.spread_O",0.0630396644120849,NA
"max.spread_M",2.26515514711901,NA
"max.spread_T",1.64527299351037,NA
"max.spread_OM",0.47498212376174,NA
"max.spread_OT",0.385632813904064,NA
"max.spread_MT",0.766916378808189,NA
"max.spread_OMT",0.667887395376583,NA
