"","00","01","10","11"
"EV_n",0.576172259263976,0.600492315863124,0.582764163083971,0.579391834388079
"EV_y",0.423827740736024,0.399507684136876,0.417235836916029,0.420608165611921
"SD_n",0.0137636783866095,0.0129070264237928,0.0119173006473454,0.0109726994592329
"SD_y",0.0137636783866095,0.0129070264237928,0.0119173006473454,0.0109726994592329
"post.theta_n",742.143686923381,864.143686923381,997.143686923381,1172.14368692338
"post.theta_y",545.915005578446,574.915005578446,713.915005578446,850.915005578446
"opt.theta_n",63.1436869233814,NA,NA,NA
"opt.theta_y",44.915005578446,NA,NA,NA
"max.spread_n",0.911864038540967,NA,NA,NA
"max.spread_y",0.911864038540965,NA,NA,NA
