"","00","01","10","11"
"EV_n",0.724917331261166,0.715065422832815,0.730892593273542,0.739720948126107
"EV_y",0.275082668738834,0.284934577167185,0.269107406726458,0.260279051873893
"SD_n",0.00670493989170945,0.0148518498679351,0.0166829476464794,0.0336833805151313
"SD_y",0.00670493989170945,0.0148518498679351,0.0166829476464794,0.0336833805151313
"post.theta_n",3214.78917478731,659.789174787312,515.789174787312,124.789174787312
"post.theta_y",1219.90846058915,262.908460589155,189.908460589155,43.9084605891546
"opt.theta_n",36.7891747873123,NA,NA,NA
"opt.theta_y",13.9084605891546,NA,NA,NA
"max.spread_n",0.507992340794435,NA,NA,NA
"max.spread_y",0.507992340794435,NA,NA,NA
