"","00","01","10","11"
"EV_n",0.754550238579577,0.757802922097198,0.765165750815783,0.760261669162848
"EV_y",0.245449761420423,0.242197077902802,0.234834249184217,0.239738330837152
"SD_n",0.0123992447347124,0.0118291589965736,0.00961253498384709,0.00922305566572594
"SD_y",0.0123992447347124,0.0118291589965736,0.00961253498384709,0.00922305566572594
"post.theta_n",908.213192932376,993.213192932376,1487.21319293238,1628.21319293238
"post.theta_y",295.435214418294,317.435214418294,456.435214418294,513.435214418294
"opt.theta_n",108.213192932376,NA,NA,NA
"opt.theta_y",34.4352144182941,NA,NA,NA
"max.spread_n",0.482265058615648,NA,NA,NA
"max.spread_y",0.482265058615651,NA,NA,NA
