"gene1","max","min","spread","rms_mean"
1,0.23970287585184033,0.23967402441012953,0.000028851441710803227,0.0000197884330671278
2,0.2396832727553799,0.2396760557897051,7.216965674794462e-6,5.972886073862166e-6
3,0.2397575286940801,0.23963349719270285,0.00012403150137724195,0.00006535025640247971
4,0.23969439944406473,0.2396644149413818,0.000029984502682933734,0.000015653775668407628
5,0.23973346615240007,0.23966950814987198,0.0000639580025280917,0.00004158469763782196
6,0.24424999143469736,0.23033949121506045,0.013910500219636912,0.007351236728463275
7,0.23970281227114407,0.23962912983455342,0.00007368243659064411,0.0000379088924120892
8,0.23988923144154758,0.2395128362222236,0.00037639521932397724,0.00019000283049827062
9,0.23967670852293163,0.23963904152388252,0.00003766699904911297,0.000025391103253635085
10,0.23988069616978097,0.23936473573620684,0.0005159604335741308,0.0002632060979804563
11,0.23971236710258637,0.23967409038363585,0.00003827671895051399,0.000026496226362546835
12,0.2574891343278904,0.2318198473618257,0.025669286966064686,0.013766784382393777
13,0.23973094388680305,0.23967550673224636,0.00005543715455669229,0.00003962802731830948
14,0.2465403885427522,0.23121552347654417,0.015324865066208032,0.007703765275764761
15,0.23969643536227617,0.23961937913463358,0.00007705622764259124,0.00004211088283989559
16,0.23971236974382043,0.23967527043960352,0.00003709930421691432,0.000026493100510579984
17,0.2397056981077403,0.2396658718631644,0.00003982624457590789,0.000022691730333536696
18,0.23968875017362448,0.23961840874370702,0.00007034142991746428,0.00004113079165533643
19,0.23977186655293536,0.23962920852557698,0.0001426580273583833,0.00007579494937475874
20,0.239768032254736,0.239572325758181,0.00019570649655500927,0.00009796728889759518
21,0.239811733573384,0.23954246750432392,0.0002692660690600812,0.00013465094137382405
22,0.2398108972152777,0.2395695540901423,0.000241343125135407,0.00012164028864622982
23,0.23969278745765643,0.23966686576119667,0.000025921696459763055,0.000013863963777109673
24,0.2397786420759506,0.23948892770721916,0.00028971436873143075,0.00015058033256384724
25,0.2397147946103217,0.23962966614098083,0.0000851284693408616,0.000042648161704133416
26,0.2397250506028164,0.23958407714217278,0.00014097346064362304,0.00007336297070774058
27,0.23974713114272597,0.2395554137987574,0.00019171734396858375,0.00009872873864246945
28,0.23970173732796568,0.23958612556257428,0.00011561176539140461,0.00006558092786724574
29,0.23979141697700299,0.2395496337252485,0.0002417832517544738,0.00012097091910855976
30,0.23968340353104628,0.2396738209029728,9.582628073490085e-6,6.058292596343756e-6
31,0.23973383667501033,0.23966177478375827,0.00007206189125205653,0.00004269296785331821
32,0.23967899073131574,0.23963526884755365,0.000043721883762087854,0.000028175266687399673
33,0.2396962122507904,0.2396483430897599,0.00004786916103050043,0.000024078310767192015
34,0.23970144005851665,0.23957738570700496,0.0001240543515116932,0.00007146351856945761
35,0.2397146175761847,0.23966063340671565,0.00005398416946905682,0.000029839453992463282
36,0.239766575249239,0.23959892575448835,0.00016764949475064905,0.00008419112788755646
37,0.23975240806235484,0.239567628840114,0.00018477922224083287,0.00009358118662826609
38,0.23990661982860972,0.23941926074357728,0.00048735908503244607,0.00024397308234596715
39,0.2397446844431801,0.239537257033428,0.00020742740975207563,0.00010912397272877488
40,0.23967988737867507,0.239658387972165,0.000021499406510083752,0.000012198928555384133
41,0.239739271423952,0.23966149978566575,0.00007777163828623368,0.00004649072088345223
42,0.23975100679043176,0.23965566469936347,0.00009534209106829006,0.00005550546830022261
43,0.23975880623052104,0.23961297824545738,0.0001458279850636568,0.00007373722186432757
44,0.23968230003557417,0.2396504965354452,0.000031803500128962936,0.00001803395440367632
45,0.23970080625414722,0.23957714138820244,0.00012366486594478365,0.00007151414279726497
46,0.24323918915328882,0.2376123968854572,0.00562679226783161,0.0029118776044301975
47,0.23969975710853028,0.2396080561194542,0.00009170098907607116,0.00005042999530283733
48,0.239782030295956,0.23955025164759264,0.00023177864836335105,0.00011622020961647263
49,0.2398034675009226,0.23964373592849703,0.00015973157242557545,0.00009354116792697814
50,0.24159498544342475,0.232661626178416,0.008933359265008767,0.005141633249533868
51,0.2397596638262449,0.23965501312322848,0.00010465070301640678,0.00006156213810773188
52,0.23968221831399122,0.2396772801734917,4.938140499510801e-6,5.437519023933045e-6
53,0.23977003954559967,0.2396717608370422,0.0000982787085574699,0.00006730726571397662
54,0.23968059199765152,0.2395796690183904,0.00010092297926111993,0.00006746172042557402
55,0.23992880346333395,0.23943842438529112,0.0004903790780428352,0.00024534417028775215
56,0.23977867952595114,0.2395326122925372,0.00024606723341394354,0.00012453179944890594
57,0.2397175679864744,0.23959707645500164,0.00012049153147275504,0.00006275900988214328
58,0.23972758460450788,0.23966579363132826,0.00006179097317962623,0.000037803374301733167
59,0.2396960663417211,0.23962737344710086,0.00006869289462024808,0.00003679015674016131
60,0.2398029121083527,0.2396592026656838,0.0001437094426688934,0.0000911933844344897
61,0.23971126049427716,0.2396711280271543,0.000040132467122866444,0.000025845809627641223
62,0.23972411918293196,0.23965632039516,0.00006779878777196657,0.00003719842839340575
63,0.23969580506470672,0.23967885679981274,0.000016948264893984488,0.000015040743578788219
64,0.23976612140774092,0.23943647947714625,0.0003296419305946763,0.000180509076444814
65,0.24903733917311824,0.23594415755156273,0.01309318162155551,0.007126487717105148
66,0.2567403749394788,0.22957914672811633,0.027161228211362493,0.01402060277823573
67,0.25085779432970073,0.23795218778468344,0.012905606545017295,0.00800077419408874
68,0.23969882448857077,0.23963910549482315,0.000059718993747626126,0.000030444520502238595
69,0.2396861160026096,0.2396642124313946,0.00002190357121500952,0.00001095486168937091
70,0.2398826206452922,0.23945071894633263,0.0004319016989595692,0.00021610780144676791
71,0.24168787384412513,0.2263017640348961,0.015386109809229026,0.009562764620643309
72,0.23977325971520472,0.23966846193970648,0.00010479777549823877,0.00006969659776107866
73,0.23979264683989826,0.23960882291508762,0.00018382392481064436,0.00009547256486037596
74,0.23967784673799158,0.2396115250505005,0.00006632168749107215,0.0000448643890567335
75,0.23968402563283436,0.2396321079976166,0.000051917635217751945,0.000030941430773722466
76,0.23983723391966227,0.23948606263783212,0.0003511712818301538,0.00017608534317581142
77,0.23986477670675788,0.2394384781494834,0.0004262985572744682,0.00021441651755570588
78,0.2412552784332052,0.2372785359206529,0.0039767425125523115,0.0020297985546763554
79,0.24168688513108214,0.23615031374412954,0.005536571386952599,0.0028697392252899465
80,0.23969612112215713,0.2396262943438356,0.00006982677832154116,0.000037503995325585857
