"","gene1","gene2","max","min","spread","rms_mean","rms_auto"
"1",1,2,0.415658107102699,0.415658101822318,5.280381021322e-09,4.50332053751815e-07,3.44908410118914e-09
"2",1,3,0.415679482432875,0.415679410799516,7.16333590222717e-08,2.179033482867e-05,4.86268920400846e-08
"3",1,4,0.415649936044621,0.415649909285076,2.67595450242908e-08,7.7314472268751e-06,1.59817585056364e-08
"4",1,5,0.415648356052807,0.415648237338983,1.18713823993311e-07,9.34870957102995e-06,7.28066463611226e-08
"5",1,6,0.41565091136603,0.415650770353072,1.41012957977082e-07,6.82375018963608e-06,8.43788512533912e-08
"6",1,7,0.415688940678588,0.415688939934631,7.43957007109941e-10,3.12856951472141e-05,4.72279342948879e-10
"7",1,8,0.41565965836942,0.415659298190083,3.60179336966748e-07,1.85627409426413e-06,2.39357503960839e-07
"8",1,9,0.41565398066206,0.415653970644207,1.00178529915951e-08,3.67832239161949e-06,6.48274066455106e-09
"9",1,10,0.415656339384626,0.415656263173178,7.62114479857523e-08,1.34828972583105e-06,5.00411547530923e-08
"10",1,11,0.415661912966278,0.41566186695356,4.60127180246239e-08,4.23862174163255e-06,2.90107375479791e-08
"11",1,12,0.415685981610868,0.415685922559188,5.90516799903185e-08,2.83034484673053e-05,3.9755382544049e-08
"12",1,13,0.415650483790111,0.415650399711481,8.40786300027041e-08,7.20619903803874e-06,5.35923682291683e-08
"13",1,14,0.41564561048326,0.415645460341965,1.50141295007789e-07,1.21090540911698e-05,9.7416403948623e-08
"14",1,15,0.41566552184137,0.415665500981331,2.08600390294578e-08,7.85978443833089e-06,1.30315650400176e-08
"15",1,16,0.415689281401916,0.415689278521834,2.88008200621803e-09,3.16251043091243e-05,1.80183066184004e-09
"16",1,17,0.426857297364408,0.399261775105839,0.027595522258569,0.0101902209732915,0.0160341047497556
"17",1,18,0.415633074584129,0.415633017595184,5.69889450074967e-08,2.46029641684812e-05,3.45616018249214e-08
"18",1,19,0.415658107682681,0.415658103303244,4.37943703524013e-09,4.50330328335584e-07,2.78427150655937e-09
"19",1,20,0.415648091531831,0.415648010441916,8.10899150049949e-08,9.61104475392955e-06,4.9186404683689e-08
"20",1,21,0.41565810811614,0.415658102400262,5.71587799313988e-09,4.50332789126097e-07,3.69618495382001e-09
"21",1,22,0.415647193906906,0.415647137725485,5.61814210153777e-08,1.0498472709134e-05,3.71540365413344e-08
"22",1,23,0.415648086832172,0.415648015141569,7.16906030095998e-08,9.61104301774094e-06,4.82739195427072e-08
"23",1,24,0.41564604938186,0.415646020548945,2.88329149999988e-08,1.16234318357711e-05,1.93075307157991e-08
"24",1,25,0.415669524127511,0.415669469439295,5.46882160112894e-08,1.18382811231771e-05,3.35939468654453e-08
"25",1,26,0.41567083543592,0.415670835267418,1.68501990138736e-10,1.31807031860559e-05,1.13661145500169e-10
"26",1,27,0.417399121367489,0.414479039435654,0.00292008193183502,0.00115357228789805,0.00187477203919001
"27",1,28,0.419527830217973,0.408213350021522,0.011314480196451,0.00449986061591359,0.00655178525488621
"28",1,29,0.425025061186438,0.404733352807244,0.020291708379194,0.00945648942490589,0.0154079749704574
"29",1,30,0.415654883388867,0.415654561125449,3.22263418006674e-07,2.92989831110914e-06,2.30290356197956e-07
"30",1,31,0.415656003662012,0.415655596885501,4.06776510974982e-07,1.88144361173376e-06,2.37505091674517e-07
"31",1,32,0.415661194147539,0.415653002505481,8.1916420580086e-06,3.03805955175543e-06,4.94015916242812e-06
"32",1,33,0.415666408735658,0.415666325961325,8.27743329989694e-08,8.70553166322955e-06,5.45171515690992e-08
"33",1,34,0.415631333190823,0.415631285899601,4.72912219939836e-08,2.63400644629213e-05,2.93124907505081e-08
"34",1,35,0.415658108258799,0.415658103198259,5.06053998705625e-09,4.50331335519942e-07,3.18922990622165e-09
"35",1,36,0.415648078593913,0.415648007594899,7.09990140013161e-08,9.61104168855808e-06,4.75589531299965e-08
"36",1,37,0.415644808278846,0.415644763960525,4.4318320957526e-08,1.28657043424534e-05,2.60169002028676e-08
"37",1,38,0.427619267932019,0.40139381192775,0.026225456004269,0.00932278055710952,0.0152179532595441
"38",1,39,0.415665056999693,0.415664921240321,1.35759371966415e-07,7.34512575732009e-06,8.0684252039121e-08
"39",1,40,0.415646809388651,0.415646793376683,1.60119680292503e-08,1.08537508801234e-05,1.00374966241078e-08
"40",1,41,0.415628257596393,0.415628257119693,4.76700012796982e-10,2.93973836300116e-05,3.15008854792975e-10
"41",1,42,0.415610701391848,0.415610700593218,7.98630050979909e-10,4.6953727338023e-05,4.70944575342752e-10
"42",1,43,0.415664526331027,0.415664384915963,1.41415063992234e-07,6.79056295779896e-06,8.55556577413083e-08
"43",1,44,0.415641531773731,0.415641525445956,6.32777497067138e-09,1.61260634901829e-05,4.17380727017959e-09
"44",1,45,0.415691956358836,0.415691954191031,2.16780499107116e-09,3.43008186857613e-05,1.36150939834003e-09
"45",1,46,0.415664065822404,0.415664044769161,2.10532429822941e-08,6.40310560824798e-06,1.4122303579528e-08
"46",1,47,0.415647180260319,0.415647121835367,5.84249519874902e-08,1.049847204387e-05,3.66485623083145e-08
"47",1,48,0.41565750649968,0.415657462826294,4.36733859632277e-08,1.74835154735332e-07,2.77590570986481e-08
"48",1,49,0.415631336542177,0.415631297129652,3.9412524965865e-08,2.63400629873407e-05,2.55583733984994e-08
"49",1,50,0.415658713603467,0.415658711876067,1.72740000081717e-09,1.05833311585775e-06,1.0899624245387e-09
"50",1,51,0.415667295161066,0.41566720090068,9.42603859965807e-08,9.58386610168985e-06,5.7781857472125e-08
"51",1,52,0.415648990423795,0.415648956879821,3.354397398736e-08,8.68200695290188e-06,2.19025657926473e-08
"52",1,53,0.415651801018054,0.41565177182066,2.91973940025336e-08,5.87233506862979e-06,1.83065513915572e-08
"53",1,54,0.415645635708547,0.415645632885577,2.82297002440757e-09,1.20206567218996e-05,1.86536426792858e-09
"54",1,55,0.415656568184375,0.415656518587448,4.95969270097874e-08,1.10648057460153e-06,3.05827942269309e-08
"55",1,56,0.415658108768042,0.415658102689016,6.07902600480159e-09,4.50334142506278e-07,4.11253805242245e-09
"56",1,57,0.415656692452128,0.415656671694336,2.0757791985293e-08,9.69273199263465e-07,1.33187867777604e-08
"57",1,58,0.415653078440394,0.415652870907235,2.07533158991247e-07,4.69462690133234e-06,1.30001677242771e-07
"58",1,59,0.415652570483039,0.41565229304648,2.77436559004141e-07,5.24272981171179e-06,1.7088230574307e-07
"59",1,60,0.41565810766679,0.415658101616108,6.05068201098291e-09,4.5033367365549e-07,3.97326386342928e-09
"60",1,61,0.415659525479421,0.415658753289124,7.72190296982611e-07,1.46666300617645e-06,5.49092345689552e-07
"61",1,62,0.41574392488442,0.415743924882597,1.82304171758574e-12,8.62702146728761e-05,1.14099036751163e-12
"62",1,63,0.415672751907405,0.415672740113661,1.17937439814142e-08,1.50891198937088e-05,7.83901632940305e-09
"63",1,64,0.415686212308143,0.415686153605916,5.87022270237547e-08,2.8524106246536e-05,3.81776175176295e-08
"64",1,65,0.415639897331114,0.415639896422997,9.08117026021671e-10,1.77579227177731e-05,5.66525844306168e-10
"65",1,66,0.415662882798306,0.415662858099816,2.46984899754388e-08,5.21834826037602e-06,1.63360416810234e-08
"66",1,67,0.415707797121511,0.415707792933732,4.18777901245448e-09,5.01399744932122e-05,2.91771608744067e-09
"67",1,68,0.42428035894298,0.411480441056205,0.012799917886775,0.00526424440748471,0.00827730393419342
"68",1,69,0.415638457920991,0.415638276183629,1.81737362048295e-07,1.92982591635157e-05,1.07252182612929e-07
"69",1,70,0.41690441726078,0.414600519405828,0.002303897854952,0.000880111296666475,0.00143664706534522
"70",1,71,0.415652200175586,0.415652187183462,1.29921240432651e-08,5.45906713848705e-06,8.59803037743108e-09
"71",1,72,0.415670120534159,0.415670105005582,1.55285770353508e-08,1.24598752673142e-05,9.64949618290957e-09
"72",1,73,0.417679907001335,0.414363209552475,0.00331669744885998,0.00120120403579719,0.00193593178310279
"73",1,74,0.415682286659995,0.415682286194085,4.65910032776407e-10,2.46318030230546e-05,2.97281833468278e-10
"74",1,75,0.415670219391682,0.415670213823207,5.56847501442803e-09,1.25611428735765e-05,3.47674029804333e-09
