"","gene1","gene2","max","min","spread","rms_mean","rms_auto"
"3239",46,90,0.239680279838386,0.239679951531786,3.28306599989281e-07,5.19981549575208e-06,1.95311063488951e-07
"3240",46,91,0.240681559249459,0.239167022332134,0.001514536917325,0.000576083100039129,0.00092902983528421
"3241",46,92,0.246481110906744,0.234553975560338,0.011927135346406,0.00432102828254632,0.00690189660613998
"3242",46,93,0.241357877227989,0.238126271024519,0.00323160620346999,0.00125242554498442,0.00195174378621662
"3243",46,94,0.239684746002889,0.239684661816704,8.4186184995394e-08,9.79897594584246e-06,6.79792132798852e-08
"3244",47,48,0.239664952796196,0.239664943602732,9.1934640178426e-09,9.95751927864725e-06,5.73719733082771e-09
"3245",47,49,0.239677526384521,0.239677476665411,4.97191099957384e-08,2.59065160338437e-06,3.26081457802877e-08
"3246",47,50,0.244105114546839,0.232823197502946,0.011281917043893,0.00431602215506575,0.00655624703655758
"3247",47,51,0.239663772605886,0.239663725678556,4.69273299941175e-08,1.11596694834742e-05,3.02948450416379e-08
"3248",47,52,0.239680046085382,0.239679893528059,1.52557322996572e-07,5.06622573467683e-06,9.95037018629279e-08
"3249",47,53,0.239685082946501,0.23968507188417,1.1062331023437e-08,1.01720447035029e-05,7.2527334689605e-09
"3250",47,54,0.239675468672422,0.239675454641069,1.40313529961578e-08,5.55884332188239e-07,8.38474285336034e-09
"3251",47,55,0.239668112920303,0.239668068449097,4.44712059954888e-08,6.80886312592108e-06,2.69995578854799e-08
"3252",47,56,0.239675771224137,0.239675558309935,2.12914201991321e-07,7.8986385640085e-07,1.36468596485791e-07
"3253",47,57,0.239668196758801,0.239667858277478,3.38481322997852e-07,6.9100209881711e-06,2.11779432053999e-07
"3254",47,58,0.239678273163396,0.239678188958869,8.42045269899838e-08,3.31565870966954e-06,5.67556011731013e-08
"3255",47,59,0.239688211564103,0.239688200691614,1.08724889924527e-08,1.33024958495731e-05,7.25639232535663e-09
"3256",47,60,0.239679539219802,0.239679538900488,3.19314019670003e-10,4.63446811097107e-06,2.1284919801561e-10
"3257",47,61,0.239654115357043,0.239654112680103,2.67694000299912e-09,2.07907414861121e-05,1.64020950534716e-09
"3258",47,62,0.239693250652893,0.239693249765663,8.87229983925764e-10,1.83454613987246e-05,5.49378393878658e-10
"3259",47,63,0.239670782669124,0.239670272302931,5.1036619300171e-07,4.3632681781642e-06,2.98986951358795e-07
"3260",47,64,0.239662805900815,0.239662660742186,1.4515862900577e-07,1.21723079251781e-05,9.59309724555186e-08
"3261",47,65,0.250914094999073,0.235185228558675,0.015728866440398,0.00605961579191886,0.00944911624839876
"3262",47,66,0.25668250130128,0.230523054650985,0.026159446650295,0.0103576809164023,0.0166126608307583
"3263",47,67,0.239674072456475,0.239673978257854,9.41986210145629e-08,8.76236664523042e-07,6.26028492374817e-08
"3264",47,68,0.239674168296791,0.239673895749328,2.72547463014972e-07,8.87473449628234e-07,1.87154064953079e-07
"3265",47,69,0.239673570321169,0.239672650322568,9.1999860102332e-07,1.84337114358368e-06,5.72813535936126e-07
