"gene1","max","min","spread","rms_mean"
1,0.290820976025382,0.2704645174256137,0.020356458599768257,0.0114029068909148
2,0.2755495133228772,0.2754524003763278,0.00009711294654940472,0.00004856281398729881
3,0.2756319526680829,0.2752730740625184,0.00035887860556449436,0.00018606955886719406
4,0.27564479716789453,0.2753730936046129,0.00027170356328165557,0.00013604264539342727
5,0.2756522116694023,0.27547795737876446,0.00017425429063783193,0.00010771939341925476
6,0.2835056871550766,0.259170041293112,0.024335645861964628,0.012860551680793083
7,0.27555148535249374,0.2754049308318622,0.00014655452063155883,0.00007696351108906402
8,0.2823654306943555,0.2700570937582802,0.012308336936075304,0.006194934146316863
9,0.27558397983469796,0.27550216675176664,0.00008181308293131462,0.00005815200305214711
10,0.27554203535617544,0.2754453782211435,0.00009665713503193007,0.0000489919212506111
11,0.27559540248049996,0.27549252632729815,0.00010287615320181409,0.00006654804567978
12,0.2755975386642118,0.27546989371054964,0.0001276449536621871,0.000071384059254158
13,0.2756202759114793,0.27549845452375593,0.00012182138772337536,0.00008384864917183319
14,0.27563278061129837,0.27533912514275416,0.0002936554685442072,0.00014767419127031427
15,0.2755854123283744,0.27547415127402103,0.00011126105435338429,0.00006229774816856916
16,0.27554656821878476,0.27550126019300664,0.00004530802577812354,0.000031699046275713224
17,0.2786769119454932,0.2700691415554361,0.008607770390057112,0.004449429732416099
18,0.2755583391337754,0.27549190154240455,0.00006643759137087146,0.00004062086417899854
19,0.27557834030593553,0.2753597245484341,0.00021861575750142803,0.00011409689386100488
20,0.27561417737978633,0.27537352179948643,0.00024065558029989775,0.00012058632024982353
21,0.27559760561518476,0.27541741262377617,0.0001801929914085898,0.00009028091172957124
22,0.27564102934090273,0.2753930226633473,0.0002480066775554235,0.00012494175249218683
23,0.2755919437884399,0.2754358470195752,0.0001560967688646886,0.00007898902261285588
24,0.2755107199220447,0.27550092531776194,9.79460428274237e-6,6.374828292536693e-6
25,0.27560744968152334,0.2754383684030354,0.00016908127848791477,0.00008715033587746979
26,0.27555112575121515,0.2754100672926618,0.00014105845855333365,0.00007363073924829463
27,0.2755667352622029,0.2753940578349224,0.00017267742728049873,0.00008893809049288713
28,0.2755707346035758,0.2754860398164582,0.0000846947871175896,0.00005003290132389374
29,0.2756730642673436,0.2753056212702274,0.00036744299711621853,0.00018413940265541538
30,0.2755246491370197,0.27543376204543346,0.00009088709158622255,0.00005072461680736924
31,0.27551566934768956,0.2754696006325232,0.00004606871516638078,0.000024769167357781828
32,0.27550919051420225,0.27540860422020064,0.00010058629400161445,0.00006606835405176275
33,0.2757273174699733,0.2753844821045697,0.00034283536540363757,0.0001797696668044045
34,0.27554544414073073,0.27536002296405393,0.00018542117667680325,0.00010486677352992734
35,0.2789732090839425,0.27340991198258313,0.005563297101359388,0.0028659062867676254
36,0.27559188048484623,0.2754140232439178,0.00017785724092844735,0.000088936855803779
37,0.2756900694729327,0.27537596219376886,0.0003141072791638111,0.00016013720517562186
38,0.2755958291112322,0.2754067251759632,0.00018910393526899716,0.00009455310828794433
39,0.27555098939183525,0.2754049271959025,0.00014606219593277237,0.00007680615913614061
40,0.27559620921133543,0.27549823556365377,0.0000979736476816595,0.00006684468973998381
41,0.2755118841681332,0.27548885692129604,0.000023027246837170612,0.000011594967375029243
42,0.2755411749289554,0.27537682879053593,0.00016434613841947998,0.0000926234160016337
43,0.27564557633861414,0.2753343957210214,0.0003111806175927212,0.00015603376944344735
44,0.275647919529356,0.2754812730265796,0.00016664650277642412,0.00010437182082757565
45,0.27551332406811724,0.2754655300942144,0.00004779397390286544,0.00002688332056909853
46,0.27570896648635557,0.27539098298859754,0.00031798349775802315,0.00016614696345368247
47,0.27552947103982817,0.27542481735760416,0.00010465368222400961,0.00005781980268461627
48,0.2755352402355287,0.2754816806167148,0.00005355961881392535,0.000027609799953569595
49,0.2755121760772024,0.27548513364963184,0.000027042427570567185,0.000013869068318025281
50,0.27551106560553407,0.27547016975513317,0.0000408958504009016,0.000023277861609630235
51,0.27560923832326256,0.27547261021485253,0.0001366281084100307,0.00007875336779715146
52,0.2755619848034908,0.275415221337252,0.00014676346623881953,0.00007454863682638152
53,0.27550447863939875,0.27543980674546825,0.00006467189393050132,0.00004383728721698978
54,0.27550566789125497,0.2754424787655319,0.00006318912572306212,0.00004199700798300889
55,0.2756031245421311,0.2754076055938193,0.00019551894831176808,0.00009782660392396752
56,0.27554902238093265,0.27547520006395054,0.0000738223169821084,0.00003834009724479307
57,0.2755721081368787,0.27537255992007953,0.00019954821679918355,0.0001040176760542063
58,0.27552624981821,0.27539950560473575,0.00012674421347425024,0.00007433992448212636
59,0.2755199831346622,0.2754733305433666,0.00004665259129560395,0.00002387405879731541
60,0.2755568875447792,0.2754994591461625,0.00005742839861672122,0.00003902746908899114
61,0.27555657078995344,0.2754911809838934,0.00006538980606002331,0.000039482706632194665
62,0.2755443039135999,0.27542874635511516,0.0001155575584847468,0.00005974887128897217
63,0.27557217286192165,0.27550137419354376,0.00007079866837789162,0.00004980311293663878
64,0.2755279240351695,0.27542331583943996,0.00010460819572954971,0.00005846416845745189
65,0.2755315550234745,0.27549797050409747,0.000033584519377016786,0.00002124926237269604
66,0.2755635170008816,0.27547388743115897,0.00008962956972263791,0.00004791688675819142
67,0.2755055227565425,0.2754543561088949,0.0000511666476475936,0.000033613095461509416
68,0.2755091950160576,0.275506722383498,2.4726325595914034e-6,6.3388506079687555e-6
69,0.27555192428013286,0.2753520433356497,0.00019988094448314397,0.0001116419908060927
70,0.27556702959440266,0.27543966756319826,0.00012736203120439216,0.00006370128872882098
71,0.2755048299680838,0.2754199836371801,0.00008484633090366511,0.000057852829339415076
72,0.2755081560487007,0.2754246645708674,0.00008349147783331956,0.00005469008629510499
73,0.2755104006123475,0.2755058215548614,4.57905748607601e-6,6.768492304100614e-6
