"","A","B"
"EV_0",0.400507986554594,0.407102868126091
"EV_O",0.10208855456235,0.108402754536353
"EV_M",0.180336473595097,0.188380939439961
"EV_T",0.0658759082156508,0.0652747297627555
"EV_OM",0.0752395933828458,0.0611944521551098
"EV_OT",0.0126133457949231,0.0110612539761302
"EV_MT",0.0744098328553942,0.0713605961319909
"EV_OMT",0.0889283050391458,0.0872224058716074
"SD_0",0.00747765606399252,0.0112326572688167
"SD_O",0.00462033510894839,0.00710796482693235
"SD_M",0.00586715803260171,0.00893995535816674
"SD_T",0.00378559185885216,0.00564748759121195
"SD_OM",0.00402537206258467,0.00548005101380248
"SD_OT",0.00170304832717399,0.00239126457728901
"SD_MT",0.00400490967120394,0.00588563791321955
"SD_OMT",0.00434374657105203,0.00645115190674047
"post.theta_0",1719.38700636665,778.387006366653
"post.theta_O",438.267750222081,207.267750222081
"post.theta_M",774.187281858679,360.187281858679
"post.theta_T",282.806297055334,124.806297055334
"post.theta_OM",323.00474290078,117.00474290078
"post.theta_OT",54.1492893891243,21.1492893891243
"post.theta_MT",319.442568069837,136.442568069837
"post.theta_OMT",381.770594633761,166.770594633761
"opt.theta_0",35.3870063666533,NA
"opt.theta_O",9.26775022208061,NA
"opt.theta_M",16.1872818586794,NA
"opt.theta_T",5.80629705533418,NA
"opt.theta_OM",6.00474290077971,NA
"opt.theta_OT",1.1492893891243,NA
"opt.theta_MT",6.44256806983723,NA
"opt.theta_OMT",7.77059463376057,NA
"max.spread_0",0.488727100901709,NA
"max.spread_O",0.74480488095644,NA
"max.spread_M",0.752291349792943,NA
"max.spread_T",0.0884231095574342,NA
"max.spread_OM",2.06558302135973,NA
"max.spread_OT",0.528689963263275,NA
"max.spread_MT",0.428324274515386,NA
"max.spread_OMT",0.219344998951617,NA
