"","0","1"
"EV_0",0.401715581582566,0.403218613850709
"EV_A",0.0982471932440307,0.109203547907442
"EV_B",0.192371913142785,0.174066505173118
"EV_C",0.0639378258503049,0.067284817144182
"EV_AB",0.0739214475854726,0.0683539353996003
"EV_AC",0.0105535915906703,0.0135813060992023
"EV_BC",0.0685615043743768,0.0779419554077586
"EV_ABC",0.0906909426297933,0.0863493190179876
"SD_0",0.00902086199453713,0.00860146254178235
"SD_A",0.00547694880545598,0.00546892534925255
"SD_B",0.00725289504689643,0.00664851305888572
"SD_C",0.00450159203983836,0.00439265852163613
"SD_AB",0.00481442026699959,0.00442488125436265
"SD_AC",0.00188031726613354,0.00202953150619853
"SD_BC",0.00464999102520262,0.00470066347787063
"SD_ABC",0.00528411876850195,0.00492508728145543
"post.theta_0",1186.04699658596,1311.04699658596
"post.theta_A",290.070372702566,355.070372702566
"post.theta_B",567.969330220268,565.969330220268
"post.theta_C",188.773524838752,218.773524838752
"post.theta_AB",218.249714254652,222.249714254652
"post.theta_AC",31.1589995090512,44.1589995090512
"post.theta_BC",202.424725534156,253.424725534156
"post.theta_ABC",267.760886196813,280.760886196813
"opt.theta_0",35.0469965859611,NA
"opt.theta_A",9.07037270256626,NA
"opt.theta_B",15.9693302202683,NA
"opt.theta_C",5.77352483875237,NA
"opt.theta_AB",6.24971425465174,NA
"opt.theta_AC",1.15899950905118,NA
"opt.theta_BC",6.42472553415606,NA
"opt.theta_ABC",7.7608861968131,NA
"max.spread_0",0.120586071872802,NA
"max.spread_A",1.41556727014093,NA
"max.spread_B",1.86048235264978,NA
"max.spread_C",0.532142137826925,NA
"max.spread_AB",0.851434776297356,NA
"max.spread_AC",1.09434415412752,NA
"max.spread_BC",1.41869922385275,NA
"max.spread_ABC",0.601044750933591,NA
