"","A","B"
"EV_0",0.405479925895386,0.397363851847209
"EV_O",0.103194420958066,0.105395573688152
"EV_M",0.184798160911747,0.179268986273672
"EV_T",0.0624202965202155,0.0713449984265405
"EV_OM",0.0737698033868541,0.066212078675502
"EV_OT",0.0118225909086247,0.0127059430555444
"EV_MT",0.0771463552231293,0.0671571763864608
"EV_OMT",0.0813684461959765,0.100551391646919
"SD_0",0.00786242091645346,0.010224554209497
"SD_O",0.00487153255575007,0.00641577790461713
"SD_M",0.00621540949804438,0.00801448495345092
"SD_T",0.00387396204693513,0.00537813353916126
"SD_OM",0.00418588343295323,0.00519535647121082
"SD_OT",0.00173086079484736,0.00234018034728729
"SD_MT",0.00427279908076077,0.0052296553147532
"SD_OMT",0.00437811374104056,0.00628354651082599
"post.theta_0",1580.81583435808,909.81583435808
"post.theta_O",402.316771434975,241.316771434975
"post.theta_M",720.459485841261,410.459485841261
"post.theta_T",243.353583797244,163.353583797244
"post.theta_OM",287.601101420514,151.601101420514
"post.theta_OT",46.0918968311978,29.0918968311978
"post.theta_MT",300.765024632071,153.765024632071
"post.theta_OMT",317.225391317891,230.225391317891
"opt.theta_0",31.8158343580805,NA
"opt.theta_O",8.31677143497519,NA
"opt.theta_M",14.4594858412613,NA
"opt.theta_T",5.35358379724441,NA
"opt.theta_OM",5.6011014205138,NA
"opt.theta_OT",1.09189683119779,NA
"opt.theta_MT",5.7650246320707,NA
"opt.theta_OMT",7.22539131789058,NA
"max.spread_0",0.629249133785323,NA
"max.spread_O",0.273242208256492,NA
"max.spread_M",0.545167696243551,NA
"max.spread_T",1.34649180509241,NA
"max.spread_OM",1.13278094218945,NA
"max.spread_OT",0.303481773130262,NA
"max.spread_MT",1.47917067736958,NA
"max.spread_OMT",2.5048295947816,NA
