"","A","B"
"EV_0",0.397336241483303,0.408826786655166
"EV_O",0.10193326431813,0.106529572363305
"EV_M",0.184096474554782,0.18114969414216
"EV_T",0.0683439704294541,0.062447435468049
"EV_OM",0.0711327173712308,0.0708390759640053
"EV_OT",0.0147142795560765,0.00897726057911794
"EV_MT",0.0767619880357799,0.069476486557792
"EV_OMT",0.0856810642512432,0.0917536882704049
"SD_0",0.00838134585570604,0.00928765167448137
"SD_O",0.00518214315430572,0.00582846317526619
"SD_M",0.00663803098658928,0.00727612135898717
"SD_T",0.00432190321312349,0.00457123965737304
"SD_OM",0.00440259430514947,0.00484686346726032
"SD_OT",0.00206228047684818,0.00178193804101162
"SD_MT",0.00455960351856908,0.00480354068711484
"SD_OMT",0.00479389389985351,0.00545371527334972
"post.theta_0",1354.05557224875,1145.05557224875
"post.theta_O",347.371546154993,298.371546154993
"post.theta_M",627.370048782041,507.370048782041
"post.theta_T",232.904840605875,174.904840605875
"post.theta_OM",242.408424577998,198.408424577998
"post.theta_OT",50.1438080507148,25.1438080507148
"post.theta_MT",261.592039147296,194.592039147296
"post.theta_OMT",291.986761772584,256.986761772584
"opt.theta_0",36.0555722487501,NA
"opt.theta_O",9.37154615499317,NA
"opt.theta_M",16.3700487820409,NA
"opt.theta_T",5.90484060587478,NA
"opt.theta_OM",6.40842457799815,NA
"opt.theta_OT",1.14380805071483,NA
"opt.theta_MT",6.59203914729575,NA
"opt.theta_OMT",7.98676177258352,NA
"max.spread_0",0.918487291538215,NA
"max.spread_O",0.589340055970795,NA
"max.spread_M",0.299191895233616,NA
"max.spread_T",0.937315892093976,NA
"max.spread_OM",0.0448451648454348,NA
"max.spread_OT",2.10494839742993,NA
"max.spread_MT",1.10003219675086,NA
"max.spread_OMT",0.836316086420306,NA
