"","Mean","SD","MCSE","ESS","LB","Median","UB"
"u0",6.55543094507655,0.97980507075017,0.0141583554063232,2042.51783353068,4.293179915613,6.68756909596232,8.11532728283201
"u1",5.40363776744862,0.976195864780719,0.0141157370268561,2076.60932942246,3.14803700801438,5.53386580121965,6.96234274557705
"Deviance",6644.40446605573,2.08855437544537,0.0221474625920084,4471.31472268986,6641.70712530208,6643.95208698692,6649.64976755682
"",1,0,0,2.22044604925031e-16,1,1,1
"",-3322.25594486619,NA,NA,NA,NA,NA,NA
"u0",6.55543094507655,0.97980507075017,0.0141583554063232,2042.51783353068,4.293179915613,6.68756909596232,8.11532728283201
"u1",5.40363776744862,0.976195864780719,0.0141157370268561,2076.60932942246,3.14803700801438,5.53386580121965,6.96234274557705
"Deviance",6644.40446605573,2.08855437544537,0.0221474625920084,4471.31472268986,6641.70712530208,6643.95208698692,6649.64976755682
"",1,0,0,2.22044604925031e-16,1,1,1
