"","A","B"
"EV",0.23967409038363585,0.23971236710258637
"STD",0.000911032126854775,0.0009195367661081605
"Q.05",0.23817692474420604,0.23820123753195632
"Q.95",0.24117395232369976,0.2412262428458274
"theta0",163112.50065999795,163112.50065999795
"theta1",51422.63647927001,51422.63647927001
"post.theta0",166936.50065999795,163872.50065999795
"post.theta1",52622.63647927001,51667.63647927001
