"","A","B"
"EV",0.2754838751126858,0.2756114778675652
"STD",0.0007943760462504498,0.0007991206344764723
"Q.05",0.27417805008893764,0.2742978576649031
"Q.95",0.27679131434311066,0.27692673022018244
"theta0",225631.9093281525,225631.9093281525
"theta1",85819.82307676025,85819.82307676025
"post.theta0",229159.9093281525,226471.9093281525
"post.theta1",87133.82307676025,86166.82307676025
