"","A","B"
"EV",0.41503374955158184,0.41607549306595526
"STD",0.002168799142624809,0.002145628828890963
"Q.05",0.411468260091499,0.4125480519357095
"Q.95",0.4186029825762082,0.41960655065314645
"theta0",28742.4221001006,28742.4221001006
"theta1",20436.533537435695,20436.533537435695
"post.theta0",30192.4221001006,30815.4221001006
"post.theta1",21421.533537435695,21957.533537435695
