"","V1","V2","V3","V4","V5","V6","V7"
"1",NA,NA,NA,NA,NA,NA,NA
"2",-4162.76507169913,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA
