"","V1","V2","V3","V4","V5","V6","V7"
"1",NA,NA,NA,NA,NA,NA,NA
"2",-2724.73798416003,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA
