"","AA","AB","BA","BB"
"EV",0.241255272401157,0.238419624099657,0.234745096538315,0.238190183292022
"STD",0.00427358361113833,0.00529848045312139,0.00506303784018195,0.00547846803351821
"Q.05",0.234255281147659,0.229750538466203,0.22646032228559,0.229228314778788
"Q.95",0.248313978544847,0.247180701626454,0.243115965178285,0.247250552673376
"theta0",4477.97083389848,4477.97083389848,4477.97083389848,4477.97083389848
"theta1",1399.80665899078,1399.80665899078,1399.80665899078,1399.80665899078
