"","AA","AB","BA","BB"
"EV",0.239661483343213,0.239661489355957,0.239661484170131,0.239661484437872
"STD",7.08511974825939e-06,7.08511777241505e-06,7.08512055882157e-06,7.08511995061675e-06
"Q.05",0.239649829439844,0.239649835455837,0.239649830265428,0.23964983053417
"Q.95",0.239673137409674,0.239673143419167,0.239673138237924,0.239673138504666
"theta0",2760054680.68797,2760054680.68797,2760054680.68797,2760054680.68797
"theta1",869979346.792562,869979346.792562,869979346.792562,869979346.792562
