"","AA","AB","BA","BB"
"EV",0.275536283504761,0.275536279758191,0.275536287991595,0.275536284986562
"STD",6.66805579404749e-06,6.66805739974109e-06,6.66805817291559e-06,6.66805840510584e-06
"Q.05",0.275525315585852,0.275525311836641,0.275525320068774,0.275525317063359
"Q.95",0.275547251537367,0.275547247793439,0.275547256028114,0.275547253023463
"theta0",3252469738.86762,3252469738.86762,3252469738.86762,3252469738.86762
"theta1",1237016300.74833,1237016300.74833,1237016300.74833,1237016300.74833
