"","Mean","SD","MCSE","ESS","LB","Median","UB"
"u0",2.76460990734318,0.360298617770659,0.00145156546482268,75827.8774327769,2.0010081536565,2.78450417220255,3.41622409511556
"u1",1.22706254167032,0.352471801573942,0.00139164836439177,78096.792238116,0.483230109076833,1.24604029462853,1.86338843358786
"u2",0.672440018774626,0.350182687587056,0.0013329691884883,81213.3679982596,-0.0650367160858708,0.690653364542249,1.30844906542136
"u3",-0.538091756392762,0.372907008849917,0.00126122388036113,93522.3293605176,-1.32840887266088,-0.518611532674361,0.131093687821252
"Deviance",6654.77013119829,2.86004008455041,0.00934161689801762,96950.2934758651,6651.22040771583,6654.11295413402,6661.95403357325
"",1,0,0,2.22044604925031e-16,1,1,1
"",-3326.94578357606,NA,NA,NA,NA,NA,NA
"u0",2.76460990734318,0.360298617770659,0.00145156546482268,75827.8774327769,2.0010081536565,2.78450417220255,3.41622409511556
"u1",1.22706254167032,0.352471801573942,0.00139164836439177,78096.792238116,0.483230109076833,1.24604029462853,1.86338843358786
"u2",0.672440018774626,0.350182687587056,0.0013329691884883,81213.3679982596,-0.0650367160858708,0.690653364542249,1.30844906542136
"u3",-0.538091756392762,0.372907008849917,0.00126122388036113,93522.3293605176,-1.32840887266088,-0.518611532674361,0.131093687821252
"Deviance",6654.77013119829,2.86004008455041,0.00934161689801762,96950.2934758651,6651.22040771583,6654.11295413402,6661.95403357325
"",1,0,0,2.22044604925031e-16,1,1,1
